Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,,"Thumindu Dodantenne, Kalana Gunasekara, Andrew Pulle, Yureni Noshika",
The Filthy Frank Show,9.8,,"George 'Joji' Miller, Artemis Holdenberry, Zeeq, Bloody Hairy",
Game of Thrones,9.5,,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",
Breaking Bad,9.5,,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",
Rick and Morty,9.3,,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",
The Wire,9.3,,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",
TVF Pitchers,9.3,,"Arunabh Kumar, Naveen Kasturia, Jitendra Kumar, Abhay Mahajan",
Sherlock,9.2,,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",
The Sopranos,9.2,,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli",
Avatar: The Last Airbender,9.2,,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",
The World at War,9.2,,"Laurence Olivier, Anthony Eden, Averell Harriman, Albert Speer",
Leyla ile Mecnun,9.2,,"Ali Atay, Cengiz Bozkurt, Serkan Keskin, Osman Sonant",
O Mecanismo,9.1,,"Caroline Abras, Enrique Diaz, Jonathan Haagensen, Selton Mello",
Firefly,9.1,,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin",
Hagane no renkinjutsushi,9.1,,"Iemasa Kayumi, Kent Williams, Muriel Hofmann, Lili Troncale",
Fargo,9.0,,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",
True Detective,9.0,,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",
One Punch Man: Wanpanman,9.0,,"Makoto Furukawa, Max Mittelman, Kaito Ishikawa, Zach Aguilar",
The Twilight Zone,9.0,,"Rod Serling, Robert McCord, Jay Overholts, Vaughn Taylor",
Last Week Tonight with John Oliver,9.0,,"John Oliver, David Kaye, Noel MacNeal, Alberto Bonilla",
Death Note: Desu nôto,9.0,,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",
Batman: The Animated Series,9.0,,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Robert Hastings",
Westworld,8.9,,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton",
Black Mirror,8.9,,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",
Stranger Things,8.9,,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",
Friends,8.9,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc",
Narcos,8.9,,"Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",
House of Cards,8.9,,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara",
Seinfeld,8.9,,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",
Arrested Development,8.9,,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",
Gravity Falls,8.9,,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini",
Only Fools and Horses....,8.9,,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield",
Kaubôi bibappu,8.9,,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum",
Monty Python's Flying Circus,8.9,,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle",
Pod prikritie,8.9,,"Ivaylo Zahariev, Zachary Baharov, Vladimir Penev, Marian Valev",
The Office,8.8,,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson",
La casa de papel,8.8,,"Úrsula Corberó, Itziar Ituño, Álvaro Morte, Paco Tous",
This Is Us,8.8,,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",
Peaky Blinders,8.8,,"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle",
It's Always Sunny in Philadelphia,8.8,,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",
House M.D.,8.8,,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",
The Simpsons,8.8,,"Dan Castellaneta, Nancy Cartwright, Julie Kavner, Yeardley Smith",
The Marvelous Mrs. Maisel,8.8,,"Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle",
The West Wing,8.8,,"Martin Sheen, Rob Lowe, Allison Janney, John Spencer",
Twin Peaks,8.8,,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook",
Shingeki no kyojin,8.8,,"Yûki Kaji, Marina Inoue, Josh Grelle, Bryce Papenbrook",
Rome,8.8,,"Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon",
Freaks and Geeks,8.8,,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine",
Oz,8.8,,"Ernie Hudson, J.K. Simmons, Lee Tergesen, Dean Winters",
Skam,8.8,,"Josefine Frida Pettersen, Iman Meskini, Ulrikke Falch, Lisa Teige",
